origin,dest,count
C0,C1,12
C0,C2,55
C0,C3,26
C0,C4,5
C0,C5,11
C0,C7,5
C1,C0,71
C1,C7,90
C2,C0,21
C2,C1,11
C2,C3,4
C2,C7,6
C3,C2,38
C3,C7,42
C4,C0,24
C4,C7,31
C5,C0,12
C5,C7,20
C6,C7,20
C7,C2,32
C7,C4,25
C7,C6,12
